iter	Logloss
0	0.6763091634
1	0.6599562581
2	0.6442255452
3	0.6288431396
4	0.6141196696
5	0.5999001465
6	0.5864208577
7	0.5737548828
8	0.5613077393
9	0.5497050374
10	0.5379312337
11	0.5275336507
12	0.5169763997
13	0.5066308594
14	0.4969720052
15	0.4879517822
16	0.4790011393
17	0.4706009115
18	0.4624752604
19	0.4547080892
20	0.4475148926
21	0.4405656738
22	0.4335698242
23	0.4271021322
24	0.4207988281
25	0.4146668294
26	0.4090940755
27	0.4034454346
28	0.3979702962
29	0.3925322266
30	0.3879036458
31	0.3833321533
32	0.3783754883
33	0.3741980387
34	0.3697210693
35	0.3658776855
36	0.3621434733
37	0.3580859375
38	0.3544417318
39	0.3510037435
40	0.3477837321
41	0.3448032227
42	0.3416044922
43	0.3387298991
44	0.3358772583
45	0.3331791178
46	0.3306106364
47	0.3280059611
48	0.3252922567
49	0.3230580851
50	0.3207222697
51	0.3186916097
52	0.3166842041
53	0.3145160116
54	0.3125197144
55	0.3106011149
56	0.3087753499
57	0.3072445882
58	0.3056249797
59	0.3040379028
60	0.3024758708
61	0.3009152832
62	0.2991594645
63	0.2974278564
64	0.2961687012
65	0.294563029
66	0.2932943115
67	0.2921606038
68	0.2908271891
69	0.2895912476
70	0.2885071818
71	0.2873426921
72	0.2864060059
73	0.2852728882
74	0.284239034
75	0.2831891683
76	0.282403422
77	0.2816788737
78	0.2809269206
79	0.2801291707
80	0.2791917318
81	0.2783916423
82	0.2776225789
83	0.276971639
84	0.2763739827
85	0.2753667399
86	0.2745940348
87	0.2738979899
88	0.273234375
89	0.2726437988
90	0.2719421794
91	0.2713417562
92	0.2708530273
93	0.2703123372
94	0.2697619629
95	0.2694459839
96	0.2689358521
97	0.2684039917
98	0.2680033773
99	0.2675195312
100	0.2670057983
101	0.2666316325
102	0.266297526
103	0.2658225708
104	0.2653774414
105	0.2648826497
106	0.2643696899
107	0.2640071208
108	0.2633957316
109	0.2628407593
110	0.2625247396
111	0.2619945475
112	0.2615699463
113	0.2612588501
114	0.2608872477
115	0.2604939372
116	0.2602322388
117	0.2596881917
118	0.2590733846
119	0.258800944
120	0.2585088298
121	0.2581691895
122	0.2577156982
123	0.2574158529
124	0.2570753581
125	0.256932902
126	0.2566187948
127	0.2563703613
128	0.2560375163
129	0.255796814
130	0.2554474284
131	0.2551734212
132	0.2548590902
133	0.2544784749
134	0.2543233643
135	0.253915446
136	0.2537781779
137	0.2534360148
138	0.2530227051
139	0.2526477458
140	0.2523133952
141	0.252066508
142	0.2516693522
143	0.2513115234
144	0.2510444743
145	0.2506425781
146	0.2504357503
147	0.2502772624
148	0.2502315674
149	0.2497981364
150	0.2494669189
151	0.2492994995
152	0.2490880534
153	0.2487663981
154	0.248476237
155	0.2481448364
156	0.2478451335
157	0.247607015
158	0.2473208822
159	0.2472444661
160	0.2469907023
161	0.2467523193
162	0.2465287679
163	0.246410319
164	0.2461775716
165	0.2458970133
166	0.2456844482
167	0.2454128418
168	0.2451587321
169	0.2449065755
170	0.2447868856
171	0.2445477702
172	0.2443881836
173	0.2441420288
174	0.2439575602
175	0.2437239583
176	0.243342041
177	0.243037028
178	0.2427002157
179	0.2425093587
180	0.2423689575
181	0.2421949056
182	0.2418949992
183	0.2416832682
184	0.2414399007
185	0.241087972
186	0.2409122721
187	0.2407793783
188	0.2405162354
189	0.2402693888
190	0.2401153158
191	0.2399600016
192	0.2397618001
193	0.2395452677
194	0.2392319743
195	0.2390208333
196	0.238791687
197	0.2386270752
198	0.2384131673
199	0.2381944987
200	0.237994222
201	0.2377910156
202	0.237668457
203	0.237340332
204	0.2370245361
205	0.2370003662
206	0.2366909587
207	0.2365024414
208	0.2363082479
209	0.2362438761
210	0.2360335897
211	0.2358897298
212	0.2356902466
213	0.2354913737
214	0.2353993734
215	0.2352652181
216	0.2350800985
217	0.2347232666
218	0.2344796956
219	0.2343499349
220	0.2341148682
221	0.2339031982
222	0.2337932332
223	0.2336371663
224	0.2333940633
225	0.2332595622
226	0.2330268148
227	0.2327838949
228	0.232618571
229	0.2324293823
230	0.2322512817
231	0.2319940592
232	0.2318275553
233	0.2316133219
234	0.231286499
235	0.2312017212
236	0.231079895
237	0.23093927
238	0.2306554159
239	0.2304929606
240	0.230360616
241	0.230286499
242	0.2300282796
243	0.2297490641
244	0.2296748454
245	0.2294943848
246	0.2294494425
247	0.2291210531
248	0.2288923543
249	0.228741394
250	0.2284857585
251	0.228334432
252	0.2280979004
253	0.2278913574
254	0.2277688395
255	0.2276294759
256	0.2275293783
257	0.2273984375
258	0.2272179769
259	0.2271094971
260	0.2268960775
261	0.2267574463
262	0.2266818034
263	0.2264760132
264	0.2263426514
265	0.2262070109
266	0.2260481364
267	0.2258684082
268	0.2256168823
269	0.2253751221
270	0.2252430013
271	0.2249659831
272	0.2249255371
273	0.2247315674
274	0.2246185303
275	0.2245314941
276	0.2243059489
277	0.2242198283
278	0.2240790405
279	0.2239478353
280	0.223791748
281	0.2235300496
282	0.2234405518
283	0.2233931071
284	0.2232623698
285	0.223134257
286	0.2230569865
287	0.2229511922
288	0.2228391113
289	0.2227105916
290	0.2226145833
291	0.2224538574
292	0.222405009
293	0.2222917887
294	0.2222318115
295	0.2220633545
296	0.2219014893
297	0.2216914266
298	0.2215070597
299	0.2213771159
300	0.2211929321
301	0.2211681112
302	0.2211182658
303	0.2209705404
304	0.2208281453
305	0.2207542114
306	0.2206673991
307	0.2205532633
308	0.2203924357
309	0.2202506104
310	0.2201297404
311	0.2199431356
312	0.2197275391
313	0.2194738159
314	0.2193647257
315	0.2192578532
316	0.2190611165
317	0.2190015666
318	0.2188297526
319	0.2187825724
320	0.2186348063
321	0.2184243368
322	0.2183566284
323	0.2182530518
324	0.2181327718
325	0.2178921305
326	0.2177460124
327	0.2176907756
328	0.2174575195
329	0.2173653971
330	0.2172760417
331	0.2172006836
332	0.217004069
333	0.216663269
334	0.2163996175
335	0.2163194173
336	0.2161732178
337	0.2159933268
338	0.2159087118
339	0.2158295085
340	0.2156582642
341	0.2154313558
342	0.2152347209
343	0.2150917155
344	0.2149035848
345	0.2147808431
346	0.2146599528
347	0.214577474
348	0.2143734131
349	0.2143250326
350	0.2142028198
351	0.2140537923
352	0.213810201
353	0.2136436564
354	0.2134146729
355	0.2133030192
356	0.2131323853
357	0.2129689535
358	0.2128889567
359	0.2127733358
360	0.2125790202
361	0.2124624634
362	0.2122392578
363	0.2121536662
364	0.212061849
365	0.2117567952
366	0.2116447347
367	0.2114464111
368	0.2112949219
369	0.2110938924
370	0.2109497884
371	0.2106142171
372	0.2104920247
373	0.2103367513
374	0.2102369792
375	0.2100495809
376	0.209775472
377	0.2097016195
378	0.2095445964
379	0.209445048
380	0.2092903646
381	0.2091471965
382	0.2091213379
383	0.2089084066
384	0.2088263753
385	0.2087726644
386	0.2085365804
387	0.2083353271
388	0.2081650798
389	0.2080510661
390	0.2079409993
391	0.2078318888
392	0.207739624
393	0.2075367025
394	0.2074079183
395	0.2072938436
396	0.2071565145
397	0.2070442505
398	0.2070032349
399	0.20690389
400	0.2068741659
401	0.2066931966
402	0.206554362
403	0.2064535319
404	0.206244751
405	0.2061448568
406	0.2060450236
407	0.2059304403
408	0.2057315063
409	0.2055783285
410	0.2055258993
411	0.2053868408
412	0.2052241211
413	0.2050451457
414	0.2048428548
415	0.204692627
416	0.2045582275
417	0.2044648844
418	0.2042923584
419	0.2040810547
420	0.203914917
421	0.2037951253
422	0.2036534831
423	0.2035404256
424	0.203334432
425	0.2031964518
426	0.2030219727
427	0.2027289429
428	0.2025811361
429	0.2023847046
430	0.2022782389
