iter	RMSE
0	3867.984095
1	3732.771829
2	3601.749438
3	3477.553622
4	3358.110092
5	3243.214588
6	3132.356797
7	3026.284308
8	2924.067268
9	2827.171638
10	2734.823691
11	2645.280342
12	2560.153886
13	2478.406599
14	2399.433493
15	2325.361671
16	2254.098076
17	2184.350271
18	2119.763413
19	2056.962113
20	1995.856601
21	1937.990004
22	1883.522342
23	1831.115501
24	1780.504455
25	1730.713157
26	1684.790633
27	1641.17383
28	1598.814714
29	1558.898408
30	1519.921455
31	1483.022503
32	1448.189864
33	1414.201455
34	1381.679201
35	1350.628733
36	1321.373122
37	1292.598312
38	1265.041818
39	1239.219047
40	1214.302168
41	1190.191206
42	1168.052575
43	1146.599483
44	1125.859488
45	1105.432799
46	1084.489104
47	1066.528075
48	1049.749796
49	1031.364148
50	1016.117678
51	1000.965392
52	987.4633667
53	971.309588
54	958.7049366
55	946.5099866
56	933.1732212
57	920.851184
58	908.0846225
59	897.6478463
60	887.2065049
61	876.2716149
62	865.9782245
63	856.4688664
64	847.6803326
65	838.9009055
66	830.9251359
67	822.9287093
68	815.1496304
69	807.5528656
70	799.9496124
71	792.5893753
72	785.8153552
73	778.259939
74	771.8712863
75	766.1172025
76	760.5678676
77	753.4199789
78	748.391085
79	743.2919113
80	738.7818783
81	734.4041649
82	730.0804355
83	725.4047399
84	720.9348719
85	717.5069571
86	712.9345905
87	708.8804976
88	705.0135251
89	701.4869269
90	697.6873743
91	694.8187593
92	689.8351968
93	686.2633257
94	683.0258398
95	679.775588
96	675.750343
97	673.040489
98	669.9372973
99	666.479651
100	663.9329509
101	660.4788013
102	657.0154693
103	653.5755925
104	651.4229599
105	648.2090792
106	645.8408507
107	643.2541549
108	641.4186629
109	639.7142709
110	636.7505527
111	634.0238965
112	632.1114465
113	629.5649796
114	627.7062408
115	626.1772442
116	624.5760284
117	621.6020255
118	619.945447
119	617.6992757
120	616.1584228
121	614.4878236
122	612.0831887
123	609.8339301
124	608.2613467
125	606.9291259
126	605.3337572
127	603.5854411
128	601.3684581
129	599.7368567
130	598.7021994
131	597.6073626
132	596.3105132
133	595.0244025
134	592.9444782
135	591.8257752
136	590.605567
137	589.2814347
138	588.386414
139	586.6668424
140	585.7234866
141	584.4977579
142	583.6864803
143	582.5532244
144	581.300557
145	580.4993974
146	578.7315358
147	577.7926785
148	576.9461286
149	575.890765
150	574.7784235
151	573.5951352
152	571.9120056
153	571.2131396
154	569.8012027
155	568.7808926
156	567.5502076
157	566.5727419
158	565.6039126
159	564.8119144
160	564.0017822
161	562.9300589
162	561.9751636
163	560.4228134
164	558.4918719
165	556.6499519
166	555.6162919
167	555.0060683
168	553.7917952
169	552.8293508
170	551.5381398
171	550.7112508
172	549.8229706
173	548.8915518
174	547.4416414
175	545.6910222
176	544.4692079
177	543.2466968
178	542.2247134
179	541.4283092
180	540.5317981
181	539.5944941
182	538.5342247
183	537.7496748
184	536.8711028
185	536.0087212
186	535.0750573
187	534.3350628
188	533.6006025
189	532.8908226
190	531.2843046
191	530.5265199
192	529.6901703
193	529.1423811
194	528.4564563
195	527.6485812
196	526.7215044
197	525.7301218
198	524.97874
199	524.1414712
200	523.4118652
201	522.6770808
202	522.039156
203	520.3835571
204	519.6998757
205	518.8092652
206	518.3187735
207	517.6224056
208	516.961876
209	516.4654094
210	515.9800689
211	515.3762202
212	514.6760906
213	514.0442603
214	512.9896323
215	512.3754133
216	511.8938654
217	511.2260208
218	510.0647475
219	509.5862189
220	508.6093208
221	507.9848025
222	507.4512554
223	506.8993582
224	506.5135549
225	505.8388105
226	505.1800072
227	504.5860206
228	503.9551145
229	503.4026497
230	502.8935166
231	502.187277
232	501.6018126
233	501.1962867
234	500.6061492
235	500.2520209
236	499.7518169
237	499.0350272
238	498.6206086
239	497.8724835
240	497.1778382
241	496.3585287
242	495.876807
243	495.3448107
244	494.8538817
245	494.4507854
246	494.0365308
247	493.6653067
248	493.2957251
249	492.669714
250	491.5516757
251	490.9677748
252	490.2814565
253	489.7299871
254	489.2852215
255	488.8949342
256	488.3369201
257	487.8772684
258	487.6689637
259	486.684601
260	485.7182868
261	485.0927113
262	484.7379428
263	484.281025
264	483.9072519
265	483.4217797
266	483.0470638
267	482.3224593
268	481.8887688
269	481.4085993
270	481.1276473
271	480.7785084
272	480.2512319
273	479.8193348
274	479.3609597
275	478.9671137
276	478.3578052
277	477.8517559
278	477.0723769
279	476.634764
280	476.0622081
281	475.6811615
282	475.2508926
283	474.8078479
284	474.4510498
285	473.9078314
286	473.4478754
287	472.7762296
288	472.4270583
289	471.9833434
290	471.6606891
291	471.2343238
292	470.5227194
293	470.0460774
294	469.4704426
295	468.6151223
296	467.958475
297	467.5713746
298	467.1835733
299	466.6710288
300	466.27618
301	465.9564629
302	465.4472431
303	465.0005956
